text,label
Откладываю даже 50 рублей — иначе не выживу.,2
Хожу пешком каждый день — экономия.,2
Пёс скучал по мне весь день.,1
Собака понюхала цветы и чихнула.,1
Заправил на 100 рублей — больше нет.,2
Отдал последние деньги за лекарства.,2
Настроил микрофон и наушники.,0
"Сломались очки, а денег на новые нет.",2
Поставил новую лампочку в коридоре.,0
Нарисовал пейзаж акварелью.,0
Поиграл в настольную игру с семьёй.,0
Отказался от мобильного интернета.,2
Собака принесла мяч обратно.,1
Хожу в секонд-хенд.,2
Беру бесплатную еду в храме.,2
Живу у друга — не тяну аренду.,2
Попросил друзей помочь с деньгами.,2
Собака носится по квартире.,1
Выбросил мусор.,0
Сижу без денег уже вторую неделю.,2
Посадил цветы на балконе.,0
Сплю на полу — нет кровати.,2
Живу на макаронах.,2
Щенок спрятался в обувной коробке.,1
Не покупаю одежду второй год.,2
Записался в центр поддержки малоимущих.,2
Обновил пароль на всех сервисах.,0
Экономлю даже на транспорте.,2
Пёс уехал с нами в отпуск.,1
Постирал одежду.,0
Живу на копейки.,2
Собака утащила одеяло.,1
Нет денег на подарок другу.,2
Собака устроила гонку с кошкой.,1
Отказался от курсов — нет денег.,2
Разложил документы по папкам.,0
Не могу позволить себе новое пальто.,2
Щенок радостно носится по квартире.,1
Помыл посуду и убрался в комнате.,0
"Щенок выучил команду ""сидеть"".",1
Пытался выучить пару новых слов на испанском.,0
Приготовил овощной суп.,0
Собака спит у батареи.,1
Взял кредит на еду.,2
Проверил давление в шинах.,0
Выбрал фильм на вечер.,0
Пёс помогает мне пережить одиночество.,1
На обед заказал суши.,0
Беру еду в офисе домой.,2
Сходил к парикмахеру.,0
Собака ждала нас у подъезда.,1
Прикрутил полку на кухне.,0
Пёс начал лаять на телевизор.,1
Провёл вечер за настольными играми.,0
"Собака ждала у двери, пока я вернусь.",1
Собака просит ещё еды.,1
Пёс просится на улицу каждые 2 часа.,1
Моя собака снова порвала тапки.,1
Отказался от фитнеса — дорого.,2
"Щенок прячется под столом, когда боится.",1
Отправил письмо по почте.,0
Нет денег на подарки на Новый год.,2
Отметил задачи в трекере.,0
Переехал в комнату поменьше.,2
Щенок радуется приходу гостей.,1
Обновил драйвера на видеокарту.,0
Нет ни копейки на счету.,2
Питался лапшой весь месяц.,2
Хожу в одних и тех же ботинках третий год.,2
"Собака лает, когда звонит дверь.",1
Собака научилась приносить палку.,1
Продал телевизор.,2
Щенок поцарапал дверь.,1
Собака встречает меня с радостью каждый день.,1
Поговорил с коллегой у кофемашины.,0
Пёс не хотел идти домой.,1
Собака забралась под плед.,1
Беру в долг каждый раз перед зарплатой.,2
Щенок находит все потерянные вещи.,1
Пёс подглядывает в окно.,1
Сделал разминку перед работой.,0
Собака любит сидеть в кресле.,1
Встретился с соседом по лестничной клетке.,0
Пёс обиженно сопит под столом.,1
Посмотрел старые видеозаписи.,0
Выбрал новый рюкзак в интернете.,0
Не ел весь день — нет денег.,2
Собака тихо посапывает во сне.,1
Собака гоняется за своим хвостом.,1
Думаю о микрозайме.,2
Щенок укусил свой хвост.,1
Пёс укусил свой хвост и завизжал.,1
Щенок чихает каждый раз после еды.,1
Послушал шум дождя за окном.,0
Не смог купить тетради.,2
Научился печь блины по новому рецепту.,0
Щенок нашёл клубок ниток.,1
Щенок крутится перед прогулкой.,1
Пёс капризничает на прогулке.,1
Щенок испугался шуршащего пакета.,1
Постирал коврик в ванной.,0
Обновил свой плейлист в Spotify.,0
Долг растёт каждый месяц.,2
Денег едва хватает на проезд.,2
Собака постоянно линяет.,1
Поменял батарейки в пульте.,0
Подключил принтер к компьютеру.,0
Собака гавкает на пылесос.,1
Зарегистрировался на новый онлайн-курс.,0
Сегодня почистил аквариум.,0
Посмотрел стрим по видеоигре.,0
Пёс заглядывает в миску каждые 10 минут.,1
Зашёл в библиотеку вернуть книгу.,0
"Пёс залез на диван, хотя нельзя.",1
Питаюсь бесплатными обедами в школе.,2
Зарядил все гаджеты на ночь.,0
На карту поступило всего 300 рублей.,2
Щенок сидит у двери в ожидании хозяина.,1
Собака зарылась в кучу одеял.,1
Решил отдохнуть от социальных сетей.,0
Прогулялся перед сном.,0
Зашёл в библиотеку за новой книгой.,0
Проверил обновления на телефоне.,0
Занял денег на телефонную связь.,2
Потратил последнюю тысячу на продукты.,2
Собака сопровождает меня повсюду.,1
Приклеил обои в спальне.,0
Наш пёс прогнал кошку с участка.,1
Пользуюсь только общественным Wi-Fi.,2
Посмотрел статистику шагов за неделю.,0
Собаку пришлось стричь.,1
"Сломалась обувь, но не могу заменить.",2
Продал старую мебель.,2
"Пёс потерялся, но мы его нашли.",1
Проверил расписание автобусов.,0
Собака принесла палку с улицы.,1
